,Index,Country,Gender,Demographics Question,Demographics Response,Question,Value,Status
7866,7866,Morocco,M,Education,Primary,... if she neglects the children,0.15,Very High
7867,7867,Morocco,M,Education,Secondary,... if she neglects the children,0.15,Very High
7868,7868,Morocco,M,Education,Higher,... if she refuses to have sex with him,0.17,Very High
7869,7869,Morocco,M,Education,No education,... if she refuses to have sex with him,0.17,Very High
7870,7870,Morocco,M,Education,Primary,... if she refuses to have sex with him,0.17,Very High
7871,7871,Morocco,M,Education,Secondary,... if she refuses to have sex with him,0.17,Very High
7872,7872,Morocco,M,Employment,Employed for cash,... for at least one specific reason,0.61,Very High
7873,7873,Morocco,M,Employment,Employed for kind,... for at least one specific reason,0.62,Very High
7874,7874,Morocco,M,Employment,Unemployed,... for at least one specific reason,0.62,Very High
7875,7875,Morocco,M,Employment,Employed for cash,... if she argues with him,0.1,Very High
7876,7876,Morocco,M,Employment,Employed for kind,... if she argues with him,0.1,Very High
7877,7877,Morocco,M,Employment,Unemployed,... if she argues with him,0.1,Very High
7878,7878,Morocco,M,Employment,Employed for cash,... if she burns the food,0.12,Very High
7879,7879,Morocco,M,Employment,Employed for kind,... if she burns the food,0.12,Very High
7880,7880,Morocco,M,Employment,Unemployed,... if she burns the food,0.12,Very High
7881,7881,Morocco,M,Employment,Employed for cash,... if she goes out without telling him,0.14,Very High
7882,7882,Morocco,M,Employment,Employed for kind,... if she goes out without telling him,0.14,Very High
7883,7883,Morocco,M,Employment,Unemployed,... if she goes out without telling him,0.14,Very High
7884,7884,Morocco,M,Employment,Employed for cash,... if she neglects the children,0.16,Very High
7885,7885,Morocco,M,Employment,Employed for kind,... if she neglects the children,0.16,Very High
7886,7886,Morocco,M,Employment,Unemployed,... if she neglects the children,0.16,Very High
7887,7887,Morocco,M,Employment,Employed for cash,... if she refuses to have sex with him,0.19,Very High
7888,7888,Morocco,M,Employment,Employed for kind,... if she refuses to have sex with him,0.19,Very High
7889,7889,Morocco,M,Employment,Unemployed,... if she refuses to have sex with him,0.19,Very High
7890,7890,Morocco,M,Marital status,Married or living together,... for at least one specific reason,0.65,Very High
7891,7891,Morocco,M,Marital status,Never married,... for at least one specific reason,0.66,Very High
7892,7892,Morocco,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,0.67,Very High
7893,7893,Morocco,M,Marital status,Married or living together,... if she argues with him,0.11,Very High
7894,7894,Morocco,M,Marital status,Never married,... if she argues with him,0.11,Very High
7895,7895,Morocco,M,Marital status,"Widowed, divorced, separated",... if she argues with him,0.11,Very High
7896,7896,Morocco,M,Marital status,Married or living together,... if she burns the food,0.13,Very High
7897,7897,Morocco,M,Marital status,Never married,... if she burns the food,0.13,Very High
7898,7898,Morocco,M,Marital status,"Widowed, divorced, separated",... if she burns the food,0.13,Very High
7899,7899,Morocco,M,Marital status,Married or living together,... if she goes out without telling him,0.15,Very High
7900,7900,Morocco,M,Marital status,Never married,... if she goes out without telling him,0.15,Very High
7901,7901,Morocco,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,0.15,Very High
7902,7902,Morocco,M,Marital status,Married or living together,... if she neglects the children,0.17,Very High
7903,7903,Morocco,M,Marital status,Never married,... if she neglects the children,0.18,Very High
7904,7904,Morocco,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,0.18,Very High
7905,7905,Morocco,M,Marital status,Married or living together,... if she refuses to have sex with him,0.2,Very High
7906,7906,Morocco,M,Marital status,Never married,... if she refuses to have sex with him,0.2,Very High
7907,7907,Morocco,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,0.21,Very High
7908,7908,Morocco,M,Residence,Rural,... for at least one specific reason,0.7,Very High
7909,7909,Morocco,M,Residence,Urban,... for at least one specific reason,0.71,Very High
7910,7910,Morocco,M,Residence,Rural,... if she argues with him,0.12,Very High
7911,7911,Morocco,M,Residence,Urban,... if she argues with him,0.12,Very High
7912,7912,Morocco,M,Residence,Rural,... if she burns the food,0.14,Very High
7913,7913,Morocco,M,Residence,Urban,... if she burns the food,0.14,Very High
7914,7914,Morocco,M,Residence,Rural,... if she goes out without telling him,0.16,Very High
7915,7915,Morocco,M,Residence,Urban,... if she goes out without telling him,0.16,Very High
7916,7916,Morocco,M,Residence,Rural,... if she neglects the children,0.19,Very High
7917,7917,Morocco,M,Residence,Urban,... if she neglects the children,0.19,Very High
7918,7918,Morocco,M,Residence,Rural,... if she refuses to have sex with him,0.22,Very High
7919,7919,Morocco,M,Residence,Urban,... if she refuses to have sex with him,0.22,Very High
7920,7920,Mozambique,F,Age,15-24,... for at least one specific reason,13.3,Medium
7921,7921,Mozambique,F,Age,25-34,... for at least one specific reason,12.7,Medium
7922,7922,Mozambique,F,Age,35-49,... for at least one specific reason,13.8,Medium
7923,7923,Mozambique,F,Age,15-24,... if she argues with him,6.2,High
7924,7924,Mozambique,F,Age,25-34,... if she argues with him,6.3,High
7925,7925,Mozambique,F,Age,35-49,... if she argues with him,7.3,High
7926,7926,Mozambique,F,Age,15-24,... if she burns the food,2.4,Very High
7927,7927,Mozambique,F,Age,25-34,... if she burns the food,2.4,Very High
7928,7928,Mozambique,F,Age,35-49,... if she burns the food,2.4,Very High
7929,7929,Mozambique,F,Age,15-24,... if she goes out without telling him,6.9,High
7930,7930,Mozambique,F,Age,25-34,... if she goes out without telling him,7.4,High
7931,7931,Mozambique,F,Age,35-49,... if she goes out without telling him,8.3,High
7932,7932,Mozambique,F,Age,15-24,... if she neglects the children,4.3,Very High
7933,7933,Mozambique,F,Age,25-34,... if she neglects the children,3.7,Very High
7934,7934,Mozambique,F,Age,35-49,... if she neglects the children,4.7,Very High
7935,7935,Mozambique,F,Age,15-24,... if she refuses to have sex with him,4.9,Very High
7936,7936,Mozambique,F,Age,25-34,... if she refuses to have sex with him,5.4,High
7937,7937,Mozambique,F,Age,35-49,... if she refuses to have sex with him,6.0,High
7938,7938,Mozambique,F,Education,Higher,... for at least one specific reason,8.6,High
7939,7939,Mozambique,F,Education,No education,... for at least one specific reason,14.2,Medium
7940,7940,Mozambique,F,Education,Primary,... for at least one specific reason,14.3,Medium
7941,7941,Mozambique,F,Education,Secondary,... for at least one specific reason,9.9,High
7942,7942,Mozambique,F,Education,Higher,... if she argues with him,5.5,High
7943,7943,Mozambique,F,Education,No education,... if she argues with him,7.9,High
7944,7944,Mozambique,F,Education,Primary,... if she argues with him,6.4,High
7945,7945,Mozambique,F,Education,Secondary,... if she argues with him,5.2,High
7946,7946,Mozambique,F,Education,Higher,... if she burns the food,0.4,Very High
7947,7947,Mozambique,F,Education,No education,... if she burns the food,2.5,Very High
7948,7948,Mozambique,F,Education,Primary,... if she burns the food,2.5,Very High
7949,7949,Mozambique,F,Education,Secondary,... if she burns the food,2.2,Very High
7950,7950,Mozambique,F,Education,Higher,... if she goes out without telling him,1.0,Very High
7951,7951,Mozambique,F,Education,No education,... if she goes out without telling him,8.7,High
7952,7952,Mozambique,F,Education,Primary,... if she goes out without telling him,8.1,High
7953,7953,Mozambique,F,Education,Secondary,... if she goes out without telling him,4.9,Very High
7954,7954,Mozambique,F,Education,Higher,... if she neglects the children,1.0,Very High
7955,7955,Mozambique,F,Education,No education,... if she neglects the children,3.4,Very High
7956,7956,Mozambique,F,Education,Primary,... if she neglects the children,4.8,Very High
7957,7957,Mozambique,F,Education,Secondary,... if she neglects the children,4.3,Very High
7958,7958,Mozambique,F,Education,Higher,... if she refuses to have sex with him,1.0,Very High
7959,7959,Mozambique,F,Education,No education,... if she refuses to have sex with him,5.2,High
7960,7960,Mozambique,F,Education,Primary,... if she refuses to have sex with him,6.4,High
7961,7961,Mozambique,F,Education,Secondary,... if she refuses to have sex with him,3.5,Very High
7962,7962,Mozambique,F,Employment,Employed for cash,... for at least one specific reason,15.3,Medium
7963,7963,Mozambique,F,Employment,Employed for kind,... for at least one specific reason,16.2,Medium
7964,7964,Mozambique,F,Employment,Unemployed,... for at least one specific reason,11.3,Medium
7965,7965,Mozambique,F,Employment,Employed for cash,... if she argues with him,8.2,High
7966,7966,Mozambique,F,Employment,Employed for kind,... if she argues with him,6.0,High
7967,7967,Mozambique,F,Employment,Unemployed,... if she argues with him,5.9,High
7968,7968,Mozambique,F,Employment,Employed for cash,... if she burns the food,2.2,Very High
7969,7969,Mozambique,F,Employment,Employed for kind,... if she burns the food,3.6,Very High
7970,7970,Mozambique,F,Employment,Unemployed,... if she burns the food,2.1,Very High
7971,7971,Mozambique,F,Employment,Employed for cash,... if she goes out without telling him,10.3,Medium
7972,7972,Mozambique,F,Employment,Employed for kind,... if she goes out without telling him,10.1,Medium
7973,7973,Mozambique,F,Employment,Unemployed,... if she goes out without telling him,5.2,High
7974,7974,Mozambique,F,Employment,Employed for cash,... if she neglects the children,5.1,High
7975,7975,Mozambique,F,Employment,Employed for kind,... if she neglects the children,5.8,High
7976,7976,Mozambique,F,Employment,Unemployed,... if she neglects the children,3.3,Very High
7977,7977,Mozambique,F,Employment,Employed for cash,... if she refuses to have sex with him,5.3,High
7978,7978,Mozambique,F,Employment,Employed for kind,... if she refuses to have sex with him,7.2,High
7979,7979,Mozambique,F,Employment,Unemployed,... if she refuses to have sex with him,4.8,Very High
7980,7980,Mozambique,F,Marital status,Married or living together,... for at least one specific reason,13.1,Medium
7981,7981,Mozambique,F,Marital status,Never married,... for at least one specific reason,12.3,Medium
7982,7982,Mozambique,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,14.6,Medium
7983,7983,Mozambique,F,Marital status,Married or living together,... if she argues with him,6.6,High
7984,7984,Mozambique,F,Marital status,Never married,... if she argues with him,5.7,High
7985,7985,Mozambique,F,Marital status,"Widowed, divorced, separated",... if she argues with him,7.4,High
7986,7986,Mozambique,F,Marital status,Married or living together,... if she burns the food,2.2,Very High
7987,7987,Mozambique,F,Marital status,Never married,... if she burns the food,2.2,Very High
7988,7988,Mozambique,F,Marital status,"Widowed, divorced, separated",... if she burns the food,3.2,Very High
7989,7989,Mozambique,F,Marital status,Married or living together,... if she goes out without telling him,7.7,High
7990,7990,Mozambique,F,Marital status,Never married,... if she goes out without telling him,5.6,High
7991,7991,Mozambique,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,8.4,High
7992,7992,Mozambique,F,Marital status,Married or living together,... if she neglects the children,4.0,Very High
7993,7993,Mozambique,F,Marital status,Never married,... if she neglects the children,5.0,
7994,7994,Mozambique,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,4.5,Very High
7995,7995,Mozambique,F,Marital status,Married or living together,... if she refuses to have sex with him,5.5,High
7996,7996,Mozambique,F,Marital status,Never married,... if she refuses to have sex with him,3.7,Very High
7997,7997,Mozambique,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,6.4,High
7998,7998,Mozambique,F,Residence,Rural,... for at least one specific reason,14.1,Medium
7999,7999,Mozambique,F,Residence,Urban,... for at least one specific reason,11.7,Medium
8000,8000,Mozambique,F,Residence,Rural,... if she argues with him,7.2,High
8001,8001,Mozambique,F,Residence,Urban,... if she argues with him,5.4,High
8002,8002,Mozambique,F,Residence,Rural,... if she burns the food,2.7,Very High
8003,8003,Mozambique,F,Residence,Urban,... if she burns the food,1.8,Very High
8004,8004,Mozambique,F,Residence,Rural,... if she goes out without telling him,8.1,High
8005,8005,Mozambique,F,Residence,Urban,... if she goes out without telling him,6.4,High
8006,8006,Mozambique,F,Residence,Rural,... if she neglects the children,4.1,Very High
8007,8007,Mozambique,F,Residence,Urban,... if she neglects the children,4.5,Very High
8008,8008,Mozambique,F,Residence,Rural,... if she refuses to have sex with him,6.2,High
8009,8009,Mozambique,F,Residence,Urban,... if she refuses to have sex with him,3.9,Very High
8010,8010,Mozambique,M,Age,15-24,... for at least one specific reason,18.6,Medium
8011,8011,Mozambique,M,Age,25-34,... for at least one specific reason,15.6,Medium
8012,8012,Mozambique,M,Age,35-49,... for at least one specific reason,14.7,Medium
8013,8013,Mozambique,M,Age,15-24,... if she argues with him,9.7,High
8014,8014,Mozambique,M,Age,25-34,... if she argues with him,8.1,High
8015,8015,Mozambique,M,Age,35-49,... if she argues with him,7.6,High
8016,8016,Mozambique,M,Age,15-24,... if she burns the food,6.6,High
8017,8017,Mozambique,M,Age,25-34,... if she burns the food,5.0,
8018,8018,Mozambique,M,Age,35-49,... if she burns the food,4.3,Very High
8019,8019,Mozambique,M,Age,15-24,... if she goes out without telling him,9.3,High
8020,8020,Mozambique,M,Age,25-34,... if she goes out without telling him,7.1,High
8021,8021,Mozambique,M,Age,35-49,... if she goes out without telling him,5.9,High
8022,8022,Mozambique,M,Age,15-24,... if she neglects the children,9.7,High
8023,8023,Mozambique,M,Age,25-34,... if she neglects the children,6.5,High
8024,8024,Mozambique,M,Age,35-49,... if she neglects the children,5.2,High
8025,8025,Mozambique,M,Age,15-24,... if she refuses to have sex with him,7.6,High
8026,8026,Mozambique,M,Age,25-34,... if she refuses to have sex with him,6.6,High
8027,8027,Mozambique,M,Age,35-49,... if she refuses to have sex with him,5.4,High
8028,8028,Mozambique,M,Education,Higher,... for at least one specific reason,3.9,Very High
8029,8029,Mozambique,M,Education,No education,... for at least one specific reason,26.2,Low
8030,8030,Mozambique,M,Education,Primary,... for at least one specific reason,17.7,Medium
8031,8031,Mozambique,M,Education,Secondary,... for at least one specific reason,13.2,Medium
8032,8032,Mozambique,M,Education,Higher,... if she argues with him,1.7,Very High
8033,8033,Mozambique,M,Education,No education,... if she argues with him,14.2,Medium
8034,8034,Mozambique,M,Education,Primary,... if she argues with him,9.7,High
8035,8035,Mozambique,M,Education,Secondary,... if she argues with him,5.8,High
8036,8036,Mozambique,M,Education,Higher,... if she burns the food,1.37,Very High
8037,8037,Mozambique,M,Education,No education,... if she burns the food,10.6,Medium
8038,8038,Mozambique,M,Education,Primary,... if she burns the food,6.5,High
8039,8039,Mozambique,M,Education,Secondary,... if she burns the food,2.8,Very High
8040,8040,Mozambique,M,Education,Higher,... if she goes out without telling him,0.9,Very High
8041,8041,Mozambique,M,Education,No education,... if she goes out without telling him,10.1,Medium
8042,8042,Mozambique,M,Education,Primary,... if she goes out without telling him,8.5,High
8043,8043,Mozambique,M,Education,Secondary,... if she goes out without telling him,6.3,High
8044,8044,Mozambique,M,Education,Higher,... if she neglects the children,0.4,Very High
8045,8045,Mozambique,M,Education,No education,... if she neglects the children,10.8,Medium
8046,8046,Mozambique,M,Education,Primary,... if she neglects the children,8.4,High
8047,8047,Mozambique,M,Education,Secondary,... if she neglects the children,5.6,High
8048,8048,Mozambique,M,Education,Higher,... if she refuses to have sex with him,1.3,Very High
8049,8049,Mozambique,M,Education,No education,... if she refuses to have sex with him,10.1,Medium
8050,8050,Mozambique,M,Education,Primary,... if she refuses to have sex with him,8.1,High
8051,8051,Mozambique,M,Education,Secondary,... if she refuses to have sex with him,3.8,Very High
8052,8052,Mozambique,M,Employment,Employed for cash,... for at least one specific reason,15.8,Medium
8053,8053,Mozambique,M,Employment,Employed for kind,... for at least one specific reason,18.2,Medium
8054,8054,Mozambique,M,Employment,Unemployed,... for at least one specific reason,18.0,Medium
8055,8055,Mozambique,M,Employment,Employed for cash,... if she argues with him,8.4,High
8056,8056,Mozambique,M,Employment,Employed for kind,... if she argues with him,6.3,High
8057,8057,Mozambique,M,Employment,Unemployed,... if she argues with him,10.8,Medium
8058,8058,Mozambique,M,Employment,Employed for cash,... if she burns the food,5.5,High
8059,8059,Mozambique,M,Employment,Employed for kind,... if she burns the food,5.6,High
8060,8060,Mozambique,M,Employment,Unemployed,... if she burns the food,5.4,High
8061,8061,Mozambique,M,Employment,Employed for cash,... if she goes out without telling him,6.9,High
8062,8062,Mozambique,M,Employment,Employed for kind,... if she goes out without telling him,11.4,Medium
8063,8063,Mozambique,M,Employment,Unemployed,... if she goes out without telling him,7.6,High
8064,8064,Mozambique,M,Employment,Employed for cash,... if she neglects the children,7.0,High
8065,8065,Mozambique,M,Employment,Employed for kind,... if she neglects the children,10.3,Medium
8066,8066,Mozambique,M,Employment,Unemployed,... if she neglects the children,6.9,High
8067,8067,Mozambique,M,Employment,Employed for cash,... if she refuses to have sex with him,6.4,High
8068,8068,Mozambique,M,Employment,Employed for kind,... if she refuses to have sex with him,6.9,High
8069,8069,Mozambique,M,Employment,Unemployed,... if she refuses to have sex with him,7.5,High
8070,8070,Mozambique,M,Marital status,Married or living together,... for at least one specific reason,16.5,Medium
8071,8071,Mozambique,M,Marital status,Never married,... for at least one specific reason,16.9,Medium
8072,8072,Mozambique,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,16.2,Medium
8073,8073,Mozambique,M,Marital status,Married or living together,... if she argues with him,8.5,High
8074,8074,Mozambique,M,Marital status,Never married,... if she argues with him,8.9,High
8075,8075,Mozambique,M,Marital status,"Widowed, divorced, separated",... if she argues with him,8.4,High
8076,8076,Mozambique,M,Marital status,Married or living together,... if she burns the food,5.4,High
8077,8077,Mozambique,M,Marital status,Never married,... if she burns the food,5.6,High
8078,8078,Mozambique,M,Marital status,"Widowed, divorced, separated",... if she burns the food,6.3,High
8079,8079,Mozambique,M,Marital status,Married or living together,... if she goes out without telling him,7.2,High
8080,8080,Mozambique,M,Marital status,Never married,... if she goes out without telling him,8.8,High
8081,8081,Mozambique,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,6.5,High
8082,8082,Mozambique,M,Marital status,Married or living together,... if she neglects the children,6.9,High
8083,8083,Mozambique,M,Marital status,Never married,... if she neglects the children,8.7,High
8084,8084,Mozambique,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,6.9,High
8085,8085,Mozambique,M,Marital status,Married or living together,... if she refuses to have sex with him,6.2,High
8086,8086,Mozambique,M,Marital status,Never married,... if she refuses to have sex with him,7.5,High
8087,8087,Mozambique,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,7.7,High
8088,8088,Mozambique,M,Residence,Rural,... for at least one specific reason,17.8,Medium
8089,8089,Mozambique,M,Residence,Urban,... for at least one specific reason,14.8,Medium
8090,8090,Mozambique,M,Residence,Rural,... if she argues with him,9.3,High
8091,8091,Mozambique,M,Residence,Urban,... if she argues with him,7.7,High
8092,8092,Mozambique,M,Residence,Rural,... if she burns the food,5.8,High
8093,8093,Mozambique,M,Residence,Urban,... if she burns the food,4.9,Very High
8094,8094,Mozambique,M,Residence,Rural,... if she goes out without telling him,8.3,High
8095,8095,Mozambique,M,Residence,Urban,... if she goes out without telling him,6.7,High
8096,8096,Mozambique,M,Residence,Rural,... if she neglects the children,7.7,High
8097,8097,Mozambique,M,Residence,Urban,... if she neglects the children,7.2,High
8098,8098,Mozambique,M,Residence,Rural,... if she refuses to have sex with him,8.0,High
8099,8099,Mozambique,M,Residence,Urban,... if she refuses to have sex with him,4.7,Very High
8100,8100,Myanmar,F,Age,15-24,... for at least one specific reason,53.0,Very Low
8101,8101,Myanmar,F,Age,25-34,... for at least one specific reason,51.6,Very Low
8102,8102,Myanmar,F,Age,35-49,... for at least one specific reason,49.6,Very Low
8103,8103,Myanmar,F,Age,15-24,... if she argues with him,9.2,High
8104,8104,Myanmar,F,Age,25-34,... if she argues with him,9.8,High
8105,8105,Myanmar,F,Age,35-49,... if she argues with him,11.1,Medium
8106,8106,Myanmar,F,Age,15-24,... if she burns the food,11.1,Medium
8107,8107,Myanmar,F,Age,25-34,... if she burns the food,12.7,Medium
8108,8108,Myanmar,F,Age,35-49,... if she burns the food,13.9,Medium
8109,8109,Myanmar,F,Age,15-24,... if she goes out without telling him,18.2,Medium
8110,8110,Myanmar,F,Age,25-34,... if she goes out without telling him,21.7,Medium
8111,8111,Myanmar,F,Age,35-49,... if she goes out without telling him,23.9,Medium
8112,8112,Myanmar,F,Age,15-24,... if she neglects the children,43.4,Low
8113,8113,Myanmar,F,Age,25-34,... if she neglects the children,42.5,Low
8114,8114,Myanmar,F,Age,35-49,... if she neglects the children,40.8,Low
8115,8115,Myanmar,F,Age,15-24,... if she refuses to have sex with him,9.3,High
8116,8116,Myanmar,F,Age,25-34,... if she refuses to have sex with him,9.7,High
8117,8117,Myanmar,F,Age,35-49,... if she refuses to have sex with him,11.7,Medium
8118,8118,Myanmar,F,Education,Higher,... for at least one specific reason,33.4,Low
8119,8119,Myanmar,F,Education,No education,... for at least one specific reason,52.1,Very Low
8120,8120,Myanmar,F,Education,Primary,... for at least one specific reason,54.7,Very Low
8121,8121,Myanmar,F,Education,Secondary,... for at least one specific reason,51.9,Very Low
8122,8122,Myanmar,F,Education,Higher,... if she argues with him,5.3,High
8123,8123,Myanmar,F,Education,No education,... if she argues with him,14.4,Medium
8124,8124,Myanmar,F,Education,Primary,... if she argues with him,11.5,Medium
8125,8125,Myanmar,F,Education,Secondary,... if she argues with him,8.5,High
8126,8126,Myanmar,F,Education,Higher,... if she burns the food,3.1,Very High
8127,8127,Myanmar,F,Education,No education,... if she burns the food,16.0,Medium
8128,8128,Myanmar,F,Education,Primary,... if she burns the food,16.3,Medium
8129,8129,Myanmar,F,Education,Secondary,... if she burns the food,10.3,Medium
8130,8130,Myanmar,F,Education,Higher,... if she goes out without telling him,8.4,High
8131,8131,Myanmar,F,Education,No education,... if she goes out without telling him,26.3,Low
8132,8132,Myanmar,F,Education,Primary,... if she goes out without telling him,25.6,Low
8133,8133,Myanmar,F,Education,Secondary,... if she goes out without telling him,19.3,Medium
8134,8134,Myanmar,F,Education,Higher,... if she neglects the children,26.4,Low
8135,8135,Myanmar,F,Education,No education,... if she neglects the children,41.8,Low
8136,8136,Myanmar,F,Education,Primary,... if she neglects the children,45.2,Very Low
8137,8137,Myanmar,F,Education,Secondary,... if she neglects the children,43.0,Low
8138,8138,Myanmar,F,Education,Higher,... if she refuses to have sex with him,4.3,Very High
8139,8139,Myanmar,F,Education,No education,... if she refuses to have sex with him,14.2,Medium
8140,8140,Myanmar,F,Education,Primary,... if she refuses to have sex with him,12.4,Medium
8141,8141,Myanmar,F,Education,Secondary,... if she refuses to have sex with him,8.6,High
8142,8142,Myanmar,F,Employment,Employed for cash,... for at least one specific reason,52.1,Very Low
8143,8143,Myanmar,F,Employment,Employed for kind,... for at least one specific reason,57.1,Very Low
8144,8144,Myanmar,F,Employment,Unemployed,... for at least one specific reason,47.7,Very Low
8145,8145,Myanmar,F,Employment,Employed for cash,... if she argues with him,10.1,Medium
8146,8146,Myanmar,F,Employment,Employed for kind,... if she argues with him,12.7,Medium
8147,8147,Myanmar,F,Employment,Unemployed,... if she argues with him,9.6,High
8148,8148,Myanmar,F,Employment,Employed for cash,... if she burns the food,13.2,Medium
8149,8149,Myanmar,F,Employment,Employed for kind,... if she burns the food,15.4,Medium
8150,8150,Myanmar,F,Employment,Unemployed,... if she burns the food,11.1,Medium
8151,8151,Myanmar,F,Employment,Employed for cash,... if she goes out without telling him,22.5,Medium
8152,8152,Myanmar,F,Employment,Employed for kind,... if she goes out without telling him,24.7,Medium
8153,8153,Myanmar,F,Employment,Unemployed,... if she goes out without telling him,18.7,Medium
8154,8154,Myanmar,F,Employment,Employed for cash,... if she neglects the children,42.9,Low
8155,8155,Myanmar,F,Employment,Employed for kind,... if she neglects the children,45.0,
8156,8156,Myanmar,F,Employment,Unemployed,... if she neglects the children,39.4,Low
8157,8157,Myanmar,F,Employment,Employed for cash,... if she refuses to have sex with him,10.3,Medium
8158,8158,Myanmar,F,Employment,Employed for kind,... if she refuses to have sex with him,12.1,Medium
8159,8159,Myanmar,F,Employment,Unemployed,... if she refuses to have sex with him,10.2,Medium
8160,8160,Myanmar,F,Marital status,Married or living together,... for at least one specific reason,50.7,Very Low
8161,8161,Myanmar,F,Marital status,Never married,... for at least one specific reason,51.4,Very Low
8162,8162,Myanmar,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,54.0,Very Low
8163,8163,Myanmar,F,Marital status,Married or living together,... if she argues with him,10.1,Medium
8164,8164,Myanmar,F,Marital status,Never married,... if she argues with him,10.2,Medium
8165,8165,Myanmar,F,Marital status,"Widowed, divorced, separated",... if she argues with him,10.4,Medium
8166,8166,Myanmar,F,Marital status,Married or living together,... if she burns the food,13.2,Medium
8167,8167,Myanmar,F,Marital status,Never married,... if she burns the food,11.7,Medium
8168,8168,Myanmar,F,Marital status,"Widowed, divorced, separated",... if she burns the food,13.7,Medium
8169,8169,Myanmar,F,Marital status,Married or living together,... if she goes out without telling him,23.9,Medium
8170,8170,Myanmar,F,Marital status,Never married,... if she goes out without telling him,17.8,Medium
8171,8171,Myanmar,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,20.2,Medium
8172,8172,Myanmar,F,Marital status,Married or living together,... if she neglects the children,42.1,Low
8173,8173,Myanmar,F,Marital status,Never married,... if she neglects the children,41.3,Low
8174,8174,Myanmar,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,45.2,Very Low
8175,8175,Myanmar,F,Marital status,Married or living together,... if she refuses to have sex with him,11.0,Medium
8176,8176,Myanmar,F,Marital status,Never married,... if she refuses to have sex with him,8.7,High
8177,8177,Myanmar,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,13.8,Medium
8178,8178,Myanmar,F,Residence,Rural,... for at least one specific reason,54.1,Very Low
8179,8179,Myanmar,F,Residence,Urban,... for at least one specific reason,44.0,Low
8180,8180,Myanmar,F,Residence,Rural,... if she argues with him,11.3,Medium
8181,8181,Myanmar,F,Residence,Urban,... if she argues with him,7.3,High
8182,8182,Myanmar,F,Residence,Rural,... if she burns the food,14.2,Medium
8183,8183,Myanmar,F,Residence,Urban,... if she burns the food,9.1,High
8184,8184,Myanmar,F,Residence,Rural,... if she goes out without telling him,24.4,Medium
8185,8185,Myanmar,F,Residence,Urban,... if she goes out without telling him,14.9,Medium
8186,8186,Myanmar,F,Residence,Rural,... if she neglects the children,44.8,Low
8187,8187,Myanmar,F,Residence,Urban,... if she neglects the children,35.4,Low
8188,8188,Myanmar,F,Residence,Rural,... if she refuses to have sex with him,11.7,Medium
8189,8189,Myanmar,F,Residence,Urban,... if she refuses to have sex with him,7.4,High
8190,8190,Myanmar,M,Age,15-24,... for at least one specific reason,55.8,Very Low
8191,8191,Myanmar,M,Age,25-34,... for at least one specific reason,49.0,Very Low
8192,8192,Myanmar,M,Age,35-49,... for at least one specific reason,43.9,Low
8193,8193,Myanmar,M,Age,15-24,... if she argues with him,14.6,Medium
8194,8194,Myanmar,M,Age,25-34,... if she argues with him,12.1,Medium
8195,8195,Myanmar,M,Age,35-49,... if she argues with him,13.0,Medium
8196,8196,Myanmar,M,Age,15-24,... if she burns the food,9.8,High
8197,8197,Myanmar,M,Age,25-34,... if she burns the food,6.7,High
8198,8198,Myanmar,M,Age,35-49,... if she burns the food,7.7,High
8199,8199,Myanmar,M,Age,15-24,... if she goes out without telling him,19.1,Medium
8200,8200,Myanmar,M,Age,25-34,... if she goes out without telling him,14.2,Medium
8201,8201,Myanmar,M,Age,35-49,... if she goes out without telling him,16.3,Medium
8202,8202,Myanmar,M,Age,15-24,... if she neglects the children,46.2,Very Low
8203,8203,Myanmar,M,Age,25-34,... if she neglects the children,39.8,Low
8204,8204,Myanmar,M,Age,35-49,... if she neglects the children,35.0,Low
8205,8205,Myanmar,M,Age,15-24,... if she refuses to have sex with him,14.6,Medium
8206,8206,Myanmar,M,Age,25-34,... if she refuses to have sex with him,8.8,High
8207,8207,Myanmar,M,Age,35-49,... if she refuses to have sex with him,7.7,High
8208,8208,Myanmar,M,Education,Higher,... for at least one specific reason,34.9,Low
8209,8209,Myanmar,M,Education,No education,... for at least one specific reason,42.6,Low
8210,8210,Myanmar,M,Education,Primary,... for at least one specific reason,48.2,Very Low
8211,8211,Myanmar,M,Education,Secondary,... for at least one specific reason,53.5,Very Low
8212,8212,Myanmar,M,Education,Higher,... if she argues with him,6.0,High
8213,8213,Myanmar,M,Education,No education,... if she argues with him,17.8,Medium
